0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,20,54,78,74,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,20,54,78,74,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,20,54,78,74,1
0,0,0,0,0,2,4,3,10,8,16,5,22,9,7,4,6,13,7,0
0,0,0,0,0,2,4,3,10,8,16,5,22,9,7,4,6,13,7,0
0,0,0,0,0,2,4,3,10,8,16,5,22,9,7,4,6,13,7,0
0,0,0,0,0,2,4,3,10,8,16,5,22,9,7,4,6,13,7,0
0,0,0,0,0,0,0,0,3,7,13,12,21,7,8,12,10,19,26,1
0,0,0,0,0,0,0,0,3,7,13,12,21,7,8,12,10,19,26,1
0,0,0,0,0,0,0,0,3,7,13,12,21,7,8,12,10,19,26,1
0,0,0,0,0,0,0,0,3,7,13,12,21,7,8,12,10,19,26,1
0,0,0,0,0,0,2,2,10,12,19,17,33,14,19,16,30,13,15,0
0,0,0,0,0,0,2,2,10,12,19,17,33,14,19,16,30,13,15,0
0,0,0,0,0,0,2,2,10,12,19,17,33,14,19,16,30,13,15,0
0,0,0,0,0,0,2,2,10,12,19,17,33,14,19,16,30,13,15,0
0,0,0,0,0,0,2,2,10,12,19,17,33,14,19,16,30,13,15,0
0,0,0,0,0,0,2,2,10,12,19,17,33,14,19,16,30,13,15,0
0,0,0,0,0,0,2,2,10,12,19,17,33,14,19,16,30,13,15,0
0,0,0,0,0,0,2,2,10,12,19,17,33,14,19,16,30,13,15,0
19,23,20,3,11,10,8,11,10,14,13,18,18,2,9,4,11,10,15,0
19,23,20,3,11,10,8,11,10,14,13,18,18,2,9,4,11,10,15,0
19,23,20,3,11,10,8,11,10,14,13,18,18,2,9,4,11,10,15,0
19,23,20,3,11,10,8,11,10,14,13,18,18,2,9,4,11,10,15,0
19,23,20,3,11,10,8,11,10,14,13,18,18,2,9,4,11,10,15,0
19,23,20,3,11,10,8,11,10,14,13,18,18,2,9,4,11,10,15,0
19,23,20,3,11,10,8,11,10,14,13,18,18,2,9,4,11,10,15,0
19,23,20,3,11,10,8,11,10,14,13,18,18,2,9,4,11,10,15,0
19,23,20,3,11,10,8,11,10,14,13,18,18,2,9,4,11,10,15,0
19,23,20,3,11,10,8,11,10,14,13,18,18,2,9,4,11,10,15,0
19,23,20,3,11,10,8,11,10,14,13,18,18,2,9,4,11,10,15,0
19,23,20,3,11,10,8,11,10,14,13,18,18,2,9,4,11,10,15,0
19,23,20,3,11,10,8,11,10,14,13,18,18,2,9,4,11,10,15,0
19,23,20,3,11,10,8,11,10,14,13,18,18,2,9,4,11,10,15,0
10,14,11,7,7,12,2,7,6,12,11,15,11,6,6,3,4,7,6,0
10,14,11,7,7,12,2,7,6,12,11,15,11,6,6,3,4,7,6,0
10,14,11,7,7,12,2,7,6,12,11,15,11,6,6,3,4,7,6,0
10,14,11,7,7,12,2,7,6,12,11,15,11,6,6,3,4,7,6,0
10,14,11,7,7,12,2,7,6,12,11,15,11,6,6,3,4,7,6,0
10,14,11,7,7,12,2,7,6,12,11,15,11,6,6,3,4,7,6,0
10,14,11,7,7,12,2,7,6,12,11,15,11,6,6,3,4,7,6,0
10,14,11,7,7,12,2,7,6,12,11,15,11,6,6,3,4,7,6,0
10,14,11,7,7,12,2,7,6,12,11,15,11,6,6,3,4,7,6,0
10,14,11,7,7,12,2,7,6,12,11,15,11,6,6,3,4,7,6,0
22,14,11,7,21,15,19,9,13,17,12,20,18,12,14,5,8,10,6,0
22,14,11,7,21,15,19,9,13,17,12,20,18,12,14,5,8,10,6,0
22,14,11,7,21,15,19,9,13,17,12,20,18,12,14,5,8,10,6,0
22,14,11,7,21,15,19,9,13,17,12,20,18,12,14,5,8,10,6,0
22,14,11,7,21,15,19,9,13,17,12,20,18,12,14,5,8,10,6,0
22,14,11,7,21,15,19,9,13,17,12,20,18,12,14,5,8,10,6,0
22,14,11,7,21,15,19,9,13,17,12,20,18,12,14,5,8,10,6,0
22,14,11,7,21,15,19,9,13,17,12,20,18,12,14,5,8,10,6,0
22,14,11,7,21,15,19,9,13,17,12,20,18,12,14,5,8,10,6,0
22,14,11,7,21,15,19,9,13,17,12,20,18,12,14,5,8,10,6,0
22,14,11,7,21,15,19,9,13,17,12,20,18,12,14,5,8,10,6,0
22,14,11,7,21,15,19,9,13,17,12,20,18,12,14,5,8,10,6,0
22,14,11,7,21,15,19,9,13,17,12,20,18,12,14,5,8,10,6,0
22,14,11,7,21,15,19,9,13,17,12,20,18,12,14,5,8,10,6,0
0,0,0,0,0,0,0,2,3,6,8,23,11,2,4,7,11,4,18,0
0,0,0,0,0,0,0,2,3,6,8,23,11,2,4,7,11,4,18,0
0,0,0,0,0,0,0,0,10,3,18,26,11,6,11,15,17,22,13,0
0,0,0,0,0,0,0,0,10,3,18,26,11,6,11,15,17,22,13,0
0,0,0,0,0,0,0,0,10,3,18,26,11,6,11,15,17,22,13,0
0,0,0,0,0,0,0,0,10,3,18,26,11,6,11,15,17,22,13,0
0,0,0,0,0,0,0,0,10,3,18,26,11,6,11,15,17,22,13,0
0,0,0,0,0,0,0,1,7,10,13,9,7,5,15,6,16,17,17,0
0,0,0,0,0,0,0,1,7,10,13,9,7,5,15,6,16,17,17,0
0,0,0,0,0,0,0,1,7,10,13,9,7,5,15,6,16,17,17,0
0,0,0,0,0,0,1,9,10,14,16,15,8,8,11,7,6,8,9,0
0,0,0,0,0,0,1,9,10,14,16,15,8,8,11,7,6,8,9,0
0,0,0,0,0,0,1,9,10,14,16,15,8,8,11,7,6,8,9,0
0,0,0,0,0,0,1,9,10,14,16,15,8,8,11,7,6,8,9,0
0,0,0,0,0,0,1,9,10,14,16,15,8,8,11,7,6,8,9,0
0,0,0,0,0,0,1,9,10,14,16,15,8,8,11,7,6,8,9,0
0,0,0,0,0,1,6,8,9,10,19,22,21,8,10,10,12,21,25,0
0,0,0,0,0,1,6,8,9,10,19,22,21,8,10,10,12,21,25,0
0,0,0,0,0,1,6,8,9,10,19,22,21,8,10,10,12,21,25,0
0,0,0,0,0,1,6,8,9,10,19,22,21,8,10,10,12,21,25,0
0,0,0,0,0,1,6,8,9,10,19,22,21,8,10,10,12,21,25,0
0,0,0,0,0,1,6,8,9,10,19,22,21,8,10,10,12,21,25,0
0,0,0,0,0,1,6,8,9,10,19,22,21,8,10,10,12,21,25,0
0,0,0,0,0,1,6,8,9,10,19,22,21,8,10,10,12,21,25,0
0,0,0,0,0,0,0,3,8,14,17,23,16,10,8,4,13,17,11,0
0,0,0,0,0,0,0,3,8,14,17,23,16,10,8,4,13,17,11,0
0,0,0,0,0,0,0,3,8,14,17,23,16,10,8,4,13,17,11,0
0,0,0,0,0,0,0,3,8,14,17,23,16,10,8,4,13,17,11,0
0,0,0,0,0,0,0,3,8,14,17,23,16,10,8,4,13,17,11,0
0,0,0,0,0,0,0,3,8,14,17,23,16,10,8,4,13,17,11,0
0,0,0,0,0,0,0,3,8,14,17,23,16,10,8,4,13,17,11,0
0,0,0,0,0,0,1,15,16,22,17,22,17,5,22,2,22,22,42,0
0,0,0,0,0,0,1,15,16,22,17,22,17,5,22,2,22,22,42,0
0,0,0,0,0,0,1,15,16,22,17,22,17,5,22,2,22,22,42,0
0,0,0,0,0,0,1,15,16,22,17,22,17,5,22,2,22,22,42,0
0,0,0,0,0,0,1,15,16,22,17,22,17,5,22,2,22,22,42,0
0,0,0,0,0,0,1,15,16,22,17,22,17,5,22,2,22,22,42,0
0,0,0,0,0,0,1,15,16,22,17,22,17,5,22,2,22,22,42,0
0,0,0,0,0,0,1,15,16,22,17,22,17,5,22,2,22,22,42,0
0,0,0,0,0,0,1,15,16,22,17,22,17,5,22,2,22,22,42,0
0,0,0,0,2,1,9,4,8,11,10,9,11,2,3,6,7,8,6,0
0,0,0,0,2,1,9,4,8,11,10,9,11,2,3,6,7,8,6,0
0,0,0,0,2,1,9,4,8,11,10,9,11,2,3,6,7,8,6,0
0,0,0,0,0,0,1,5,4,18,15,25,11,6,9,9,20,18,10,0
0,0,0,0,0,0,1,5,4,18,15,25,11,6,9,9,20,18,10,0
0,0,0,0,0,0,1,5,4,18,15,25,11,6,9,9,20,18,10,0
0,0,0,0,0,0,1,5,4,18,15,25,11,6,9,9,20,18,10,0
0,0,0,0,0,0,1,5,4,18,15,25,11,6,9,9,20,18,10,0
0,0,0,0,0,0,1,5,4,18,15,25,11,6,9,9,20,18,10,0
0,0,0,0,0,0,1,0,8,5,4,3,13,8,9,13,20,25,28,0
0,0,0,0,0,0,1,0,8,5,4,3,13,8,9,13,20,25,28,0
0,0,0,0,0,0,1,0,8,5,4,3,13,8,9,13,20,25,28,0
0,0,0,0,0,0,0,0,1,1,5,8,16,3,7,18,27,26,35,0
0,0,0,0,0,0,0,0,1,1,5,8,16,3,7,18,27,26,35,0
0,0,0,0,0,0,0,0,1,1,5,8,16,3,7,18,27,26,35,0
0,0,0,0,0,0,0,3,6,10,6,37,33,14,19,17,23,27,26,3
0,0,0,0,0,0,0,3,6,10,6,37,33,14,19,17,23,27,26,3
0,0,0,0,0,0,0,3,6,10,6,37,33,14,19,17,23,27,26,3
0,0,0,0,0,0,0,3,6,10,6,37,33,14,19,17,23,27,26,3
0,0,0,0,0,0,0,3,6,10,6,37,33,14,19,17,23,27,26,3
0,0,0,0,0,0,0,3,6,10,6,37,33,14,19,17,23,27,26,3
0,0,0,0,0,0,0,3,6,10,6,37,33,14,19,17,23,27,26,3
0,0,0,0,0,0,0,3,6,10,6,37,33,14,19,17,23,27,26,3
0,0,0,0,0,0,0,0,0,0,0,0,20,16,8,8,19,15,12,1
0,0,0,0,0,0,0,0,0,0,0,0,20,16,8,8,19,15,12,1
7,6,7,5,8,5,6,7,9,14,10,15,4,4,7,7,6,8,11,0
7,6,7,5,8,5,6,7,9,14,10,15,4,4,7,7,6,8,11,0
7,6,7,5,8,5,6,7,9,14,10,15,4,4,7,7,6,8,11,0
7,6,7,5,8,5,6,7,9,14,10,15,4,4,7,7,6,8,11,0
7,6,7,5,8,5,6,7,9,14,10,15,4,4,7,7,6,8,11,0
7,6,7,5,8,5,6,7,9,14,10,15,4,4,7,7,6,8,11,0
7,6,7,5,8,5,6,7,9,14,10,15,4,4,7,7,6,8,11,0
7,6,7,5,8,5,6,7,9,14,10,15,4,4,7,7,6,8,11,0
7,6,7,5,8,5,6,7,9,14,10,15,4,4,7,7,6,8,11,0
31,34,28,11,36,16,34,10,21,27,24,27,15,3,12,5,17,19,23,2
31,34,28,11,36,16,34,10,21,27,24,27,15,3,12,5,17,19,23,2
31,34,28,11,36,16,34,10,21,27,24,27,15,3,12,5,17,19,23,2
31,34,28,11,36,16,34,10,21,27,24,27,15,3,12,5,17,19,23,2
31,34,28,11,36,16,34,10,21,27,24,27,15,3,12,5,17,19,23,2
31,34,28,11,36,16,34,10,21,27,24,27,15,3,12,5,17,19,23,2
31,34,28,11,36,16,34,10,21,27,24,27,15,3,12,5,17,19,23,2
31,34,28,11,36,16,34,10,21,27,24,27,15,3,12,5,17,19,23,2
31,34,28,11,36,16,34,10,21,27,24,27,15,3,12,5,17,19,23,2
31,34,28,11,36,16,34,10,21,27,24,27,15,3,12,5,17,19,23,2
31,34,28,11,36,16,34,10,21,27,24,27,15,3,12,5,17,19,23,2
31,34,28,11,36,16,34,10,21,27,24,27,15,3,12,5,17,19,23,2
31,34,28,11,36,16,34,10,21,27,24,27,15,3,12,5,17,19,23,2
31,34,28,11,36,16,34,10,21,27,24,27,15,3,12,5,17,19,23,2
31,34,28,11,36,16,34,10,21,27,24,27,15,3,12,5,17,19,23,2
31,34,28,11,36,16,34,10,21,27,24,27,15,3,12,5,17,19,23,2
31,34,28,11,36,16,34,10,21,27,24,27,15,3,12,5,17,19,23,2
31,34,28,11,36,16,34,10,21,27,24,27,15,3,12,5,17,19,23,2
20,13,12,7,14,3,12,2,6,6,11,4,4,6,2,0,5,7,5,0
20,13,12,7,14,3,12,2,6,6,11,4,4,6,2,0,5,7,5,0
20,13,12,7,14,3,12,2,6,6,11,4,4,6,2,0,5,7,5,0
20,13,12,7,14,3,12,2,6,6,11,4,4,6,2,0,5,7,5,0
20,13,12,7,14,3,12,2,6,6,11,4,4,6,2,0,5,7,5,0
20,13,12,7,14,3,12,2,6,6,11,4,4,6,2,0,5,7,5,0
20,13,12,7,14,3,12,2,6,6,11,4,4,6,2,0,5,7,5,0
20,13,12,7,14,3,12,2,6,6,11,4,4,6,2,0,5,7,5,0
20,13,12,7,14,3,12,2,6,6,11,4,4,6,2,0,5,7,5,0
20,13,12,7,14,3,12,2,6,6,11,4,4,6,2,0,5,7,5,0
20,13,12,7,14,3,12,2,6,6,11,4,4,6,2,0,5,7,5,0
44,34,30,15,17,13,8,12,4,7,8,9,7,1,3,2,6,5,7,0
44,34,30,15,17,13,8,12,4,7,8,9,7,1,3,2,6,5,7,0
44,34,30,15,17,13,8,12,4,7,8,9,7,1,3,2,6,5,7,0
44,34,30,15,17,13,8,12,4,7,8,9,7,1,3,2,6,5,7,0
44,34,30,15,17,13,8,12,4,7,8,9,7,1,3,2,6,5,7,0
44,34,30,15,17,13,8,12,4,7,8,9,7,1,3,2,6,5,7,0
44,34,30,15,17,13,8,12,4,7,8,9,7,1,3,2,6,5,7,0
44,34,30,15,17,13,8,12,4,7,8,9,7,1,3,2,6,5,7,0
44,34,30,15,17,13,8,12,4,7,8,9,7,1,3,2,6,5,7,0
44,34,30,15,17,13,8,12,4,7,8,9,7,1,3,2,6,5,7,0
44,34,30,15,17,13,8,12,4,7,8,9,7,1,3,2,6,5,7,0
44,34,30,15,17,13,8,12,4,7,8,9,7,1,3,2,6,5,7,0
44,34,30,15,17,13,8,12,4,7,8,9,7,1,3,2,6,5,7,0
44,34,30,15,17,13,8,12,4,7,8,9,7,1,3,2,6,5,7,0
44,34,30,15,17,13,8,12,4,7,8,9,7,1,3,2,6,5,7,0
44,34,30,15,17,13,8,12,4,7,8,9,7,1,3,2,6,5,7,0
44,34,30,15,17,13,8,12,4,7,8,9,7,1,3,2,6,5,7,0
44,34,30,15,17,13,8,12,4,7,8,9,7,1,3,2,6,5,7,0
5,8,7,7,10,5,9,7,4,7,17,9,12,8,4,4,1,9,2,0
5,8,7,7,10,5,9,7,4,7,17,9,12,8,4,4,1,9,2,0
5,8,7,7,10,5,9,7,4,7,17,9,12,8,4,4,1,9,2,0
5,8,7,7,10,5,9,7,4,7,17,9,12,8,4,4,1,9,2,0
5,8,7,7,10,5,9,7,4,7,17,9,12,8,4,4,1,9,2,0
5,8,7,7,10,5,9,7,4,7,17,9,12,8,4,4,1,9,2,0
5,8,7,7,10,5,9,7,4,7,17,9,12,8,4,4,1,9,2,0
5,8,7,7,10,5,9,7,4,7,17,9,12,8,4,4,1,9,2,0
5,8,7,7,10,5,9,7,4,7,17,9,12,8,4,4,1,9,2,0
13,12,15,6,13,6,17,12,7,18,27,23,19,2,12,14,16,13,22,1
13,12,15,6,13,6,17,12,7,18,27,23,19,2,12,14,16,13,22,1
13,12,15,6,13,6,17,12,7,18,27,23,19,2,12,14,16,13,22,1
13,12,15,6,13,6,17,12,7,18,27,23,19,2,12,14,16,13,22,1
13,12,15,6,13,6,17,12,7,18,27,23,19,2,12,14,16,13,22,1
13,12,15,6,13,6,17,12,7,18,27,23,19,2,12,14,16,13,22,1
13,12,15,6,13,6,17,12,7,18,27,23,19,2,12,14,16,13,22,1
13,12,15,6,13,6,17,12,7,18,27,23,19,2,12,14,16,13,22,1
13,12,15,6,13,6,17,12,7,18,27,23,19,2,12,14,16,13,22,1
13,12,15,6,13,6,17,12,7,18,27,23,19,2,12,14,16,13,22,1
13,12,15,6,13,6,17,12,7,18,27,23,19,2,12,14,16,13,22,1
13,12,15,6,13,6,17,12,7,18,27,23,19,2,12,14,16,13,22,1
13,12,15,6,13,6,17,12,7,18,27,23,19,2,12,14,16,13,22,1
16,15,9,3,8,4,7,6,2,7,3,5,9,3,5,2,3,6,11,0
16,15,9,3,8,4,7,6,2,7,3,5,9,3,5,2,3,6,11,0
16,15,9,3,8,4,7,6,2,7,3,5,9,3,5,2,3,6,11,0
16,15,9,3,8,4,7,6,2,7,3,5,9,3,5,2,3,6,11,0
16,15,9,3,8,4,7,6,2,7,3,5,9,3,5,2,3,6,11,0
16,15,9,3,8,4,7,6,2,7,3,5,9,3,5,2,3,6,11,0
16,15,9,3,8,4,7,6,2,7,3,5,9,3,5,2,3,6,11,0
16,15,9,3,8,4,7,6,2,7,3,5,9,3,5,2,3,6,11,0
22,21,22,12,17,12,14,23,14,17,23,36,21,10,12,4,14,19,33,0
22,21,22,12,17,12,14,23,14,17,23,36,21,10,12,4,14,19,33,0
22,21,22,12,17,12,14,23,14,17,23,36,21,10,12,4,14,19,33,0
22,21,22,12,17,12,14,23,14,17,23,36,21,10,12,4,14,19,33,0
22,21,22,12,17,12,14,23,14,17,23,36,21,10,12,4,14,19,33,0
22,21,22,12,17,12,14,23,14,17,23,36,21,10,12,4,14,19,33,0
22,21,22,12,17,12,14,23,14,17,23,36,21,10,12,4,14,19,33,0
22,21,22,12,17,12,14,23,14,17,23,36,21,10,12,4,14,19,33,0
22,21,22,12,17,12,14,23,14,17,23,36,21,10,12,4,14,19,33,0
22,21,22,12,17,12,14,23,14,17,23,36,21,10,12,4,14,19,33,0
22,21,22,12,17,12,14,23,14,17,23,36,21,10,12,4,14,19,33,0
22,21,22,12,17,12,14,23,14,17,23,36,21,10,12,4,14,19,33,0
22,21,22,12,17,12,14,23,14,17,23,36,21,10,12,4,14,19,33,0
22,21,22,12,17,12,14,23,14,17,23,36,21,10,12,4,14,19,33,0
22,21,22,12,17,12,14,23,14,17,23,36,21,10,12,4,14,19,33,0
22,21,22,12,17,12,14,23,14,17,23,36,21,10,12,4,14,19,33,0
39,12,19,13,11,4,3,2,1,3,2,2,0,0,0,1,0,2,1,0
39,12,19,13,11,4,3,2,1,3,2,2,0,0,0,1,0,2,1,0
39,12,19,13,11,4,3,2,1,3,2,2,0,0,0,1,0,2,1,0
39,12,19,13,11,4,3,2,1,3,2,2,0,0,0,1,0,2,1,0
39,12,19,13,11,4,3,2,1,3,2,2,0,0,0,1,0,2,1,0
39,12,19,13,11,4,3,2,1,3,2,2,0,0,0,1,0,2,1,0
39,12,19,13,11,4,3,2,1,3,2,2,0,0,0,1,0,2,1,0
39,12,19,13,11,4,3,2,1,3,2,2,0,0,0,1,0,2,1,0
39,12,19,13,11,4,3,2,1,3,2,2,0,0,0,1,0,2,1,0
39,12,19,13,11,4,3,2,1,3,2,2,0,0,0,1,0,2,1,0
39,12,19,13,11,4,3,2,1,3,2,2,0,0,0,1,0,2,1,0
39,12,19,13,11,4,3,2,1,3,2,2,0,0,0,1,0,2,1,0
39,12,19,13,11,4,3,2,1,3,2,2,0,0,0,1,0,2,1,0
39,12,19,13,11,4,3,2,1,3,2,2,0,0,0,1,0,2,1,0
39,12,19,13,11,4,3,2,1,3,2,2,0,0,0,1,0,2,1,0
39,12,19,13,11,4,3,2,1,3,2,2,0,0,0,1,0,2,1,0
6,9,10,7,1,2,4,2,2,10,5,7,5,4,5,2,3,6,7,0
6,9,10,7,1,2,4,2,2,10,5,7,5,4,5,2,3,6,7,0
34,33,36,18,25,18,23,9,20,26,17,23,12,6,8,5,10,12,8,0
34,33,36,18,25,18,23,9,20,26,17,23,12,6,8,5,10,12,8,0
34,33,36,18,25,18,23,9,20,26,17,23,12,6,8,5,10,12,8,0
34,33,36,18,25,18,23,9,20,26,17,23,12,6,8,5,10,12,8,0
34,33,36,18,25,18,23,9,20,26,17,23,12,6,8,5,10,12,8,0
34,33,36,18,25,18,23,9,20,26,17,23,12,6,8,5,10,12,8,0
34,33,36,18,25,18,23,9,20,26,17,23,12,6,8,5,10,12,8,0
34,33,36,18,25,18,23,9,20,26,17,23,12,6,8,5,10,12,8,0
34,33,36,18,25,18,23,9,20,26,17,23,12,6,8,5,10,12,8,0
34,33,36,18,25,18,23,9,20,26,17,23,12,6,8,5,10,12,8,0
34,33,36,18,25,18,23,9,20,26,17,23,12,6,8,5,10,12,8,0
34,33,36,18,25,18,23,9,20,26,17,23,12,6,8,5,10,12,8,0
34,33,36,18,25,18,23,9,20,26,17,23,12,6,8,5,10,12,8,0
34,33,36,18,25,18,23,9,20,26,17,23,12,6,8,5,10,12,8,0
34,33,36,18,25,18,23,9,20,26,17,23,12,6,8,5,10,12,8,0
34,33,36,18,25,18,23,9,20,26,17,23,12,6,8,5,10,12,8,0
34,33,36,18,25,18,23,9,20,26,17,23,12,6,8,5,10,12,8,0
34,33,36,18,25,18,23,9,20,26,17,23,12,6,8,5,10,12,8,0
9,5,8,10,8,10,17,3,8,9,11,14,10,6,5,5,10,24,14,0
9,5,8,10,8,10,17,3,8,9,11,14,10,6,5,5,10,24,14,0
9,5,8,10,8,10,17,3,8,9,11,14,10,6,5,5,10,24,14,0
9,5,8,10,8,10,17,3,8,9,11,14,10,6,5,5,10,24,14,0
9,5,8,10,8,10,17,3,8,9,11,14,10,6,5,5,10,24,14,0
9,5,8,10,8,10,17,3,8,9,11,14,10,6,5,5,10,24,14,0
9,5,8,10,8,10,17,3,8,9,11,14,10,6,5,5,10,24,14,0
9,5,8,10,8,10,17,3,8,9,11,14,10,6,5,5,10,24,14,0
9,5,8,10,8,10,17,3,8,9,11,14,10,6,5,5,10,24,14,0
9,5,8,10,8,10,17,3,8,9,11,14,10,6,5,5,10,24,14,0
11,9,15,0,8,6,9,1,1,10,6,1,2,3,3,3,2,4,0,0
11,9,15,0,8,6,9,1,1,10,6,1,2,3,3,3,2,4,0,0
11,9,15,0,8,6,9,1,1,10,6,1,2,3,3,3,2,4,0,0
6,8,5,4,2,0,1,7,2,2,5,6,1,2,1,7,9,12,14,0
6,8,5,4,2,0,1,7,2,2,5,6,1,2,1,7,9,12,14,0
28,21,32,19,34,10,15,4,13,20,11,9,3,4,12,9,1,3,5,0
28,21,32,19,34,10,15,4,13,20,11,9,3,4,12,9,1,3,5,0
28,21,32,19,34,10,15,4,13,20,11,9,3,4,12,9,1,3,5,0
28,21,32,19,34,10,15,4,13,20,11,9,3,4,12,9,1,3,5,0
28,21,32,19,34,10,15,4,13,20,11,9,3,4,12,9,1,3,5,0
28,21,32,19,34,10,15,4,13,20,11,9,3,4,12,9,1,3,5,0
28,21,32,19,34,10,15,4,13,20,11,9,3,4,12,9,1,3,5,0
28,21,32,19,34,10,15,4,13,20,11,9,3,4,12,9,1,3,5,0
28,21,32,19,34,10,15,4,13,20,11,9,3,4,12,9,1,3,5,0
28,21,32,19,34,10,15,4,13,20,11,9,3,4,12,9,1,3,5,0
28,21,32,19,34,10,15,4,13,20,11,9,3,4,12,9,1,3,5,0
28,21,32,19,34,10,15,4,13,20,11,9,3,4,12,9,1,3,5,0
28,21,32,19,34,10,15,4,13,20,11,9,3,4,12,9,1,3,5,0
28,21,32,19,34,10,15,4,13,20,11,9,3,4,12,9,1,3,5,0
28,21,32,19,34,10,15,4,13,20,11,9,3,4,12,9,1,3,5,0
28,21,32,19,34,10,15,4,13,20,11,9,3,4,12,9,1,3,5,0
28,21,32,19,34,10,15,4,13,20,11,9,3,4,12,9,1,3,5,0
0,1,0,0,0,0,2,1,1,5,3,10,12,5,17,10,12,28,48,0
0,1,0,0,0,0,2,1,1,5,3,10,12,5,17,10,12,28,48,0
0,1,0,0,0,0,2,1,1,5,3,10,12,5,17,10,12,28,48,0
7,9,6,3,8,4,5,6,2,8,9,9,6,2,7,3,13,8,9,0
7,9,6,3,8,4,5,6,2,8,9,9,6,2,7,3,13,8,9,0
7,9,6,3,8,4,5,6,2,8,9,9,6,2,7,3,13,8,9,0
7,9,6,3,8,4,5,6,2,8,9,9,6,2,7,3,13,8,9,0
7,9,6,3,8,4,5,6,2,8,9,9,6,2,7,3,13,8,9,0
